play_id,title,ExitVelocity,HitDistance,LaunchAngle,video
5d3e0e9f-d22c-4f86-9f43-d6823b667dcf,Fernando Tatis Jr.  homers (1) on a fly ball to left center field.   Luis Arraez scores.,112.8,415.1098489,39,https://sporty-clips.mlb.com/R0JxQUJfV0ZRVkV3dEdEUT09X0ExVlNBVlJSWDFRQVhGQUFCUUFBVnc1UUFGaFRWMUlBVmxNTkFnQlhCd1ZTVkZFQQ==.mp4
7fdfd210-b6d6-4b5c-a905-83e2edb5461e,Pete Alonso homers (1) on a line drive to right center field.    Francisco Lindor scores.    Brandon Nimmo scores.,105,367.1650501,22,https://sporty-clips.mlb.com/a0RZT0JfV0ZRVkV3dEdEUT09X0FWY0ZBZ0FHVndJQVdsUldVQUFBVXdNRkFBQU1VMVFBQ2xaUUFsWlJVd1pSQmdNRA==.mp4
d097f5c0-e86f-49c9-9353-852ca5d16c2e,Jorge Soler homers (1) on a fly ball to center field.,109,424,27,https://sporty-clips.mlb.com/RDF2ZXlfV0ZRVkV3dEdEUT09X1VnRllVd0lCQlFJQVhWb0VBQUFBQ0ZWZkFGZ0dWbElBQ2xBSFUxSUFWUUpUVXdBRA==.mp4
ea9a3277-3a51-4186-9256-c9dc9de61194,Kyle Higashioka homers (1) on a fly ball to left center field.,102.6,386.8821094,35,https://sporty-clips.mlb.com/R0JxQUJfV0ZRVkV3dEdEUT09X1UxQllCVmNHVVFVQUN3TUhWd0FBQUE1UUFGZ0hWbGNBVVZ4UlV3cFJWQVZVQVF0Uw==.mp4
c464d93a-b64b-4c67-b759-68b72aad6775,Jackson Chourio homers (2) on a fly ball to right center field.,105.7,398.1920139,29,https://sporty-clips.mlb.com/UUFqUm9fV0ZRVkV3dEdEUT09X1ZRVlhVQUFOVlZNQVdsUUdCQUFBVWdCUkFBTUNWbGdBQkYxWEJ3RlVVRmRUQndWVA==.mp4
e0a5e670-97cb-4655-8f26-3c6897353c08,Parker Meadows homers (1) on a fly ball to right field.,99.9,358,35,https://sporty-clips.mlb.com/MTYyR1ZfV0ZRVkV3dEdEUT09X1V3RUFVUUVDVVFJQUFWVlJCQUFBQndOVEFGbFRVVmNBQVFZRENBb0NBZ1pXVXdKZQ==.mp4
0ccbaad0-d873-4456-999f-cd070850e1fb,Jackson Chourio homers (1) on a fly ball to right field.,103.4,375.8507428,26,https://sporty-clips.mlb.com/UUFqUm9fV0ZRVkV3dEdEUT09X0JsSUNCZ1ZWQWdJQVhGb0ZWUUFBQlFOUUFGZ01XZ2NBVVFFRkJ3TU5CQU1BQVZRRQ==.mp4
592bc279-95a7-4853-a9ae-d1cc78fa0331,Garrett Mitchell homers (1) on a line drive to center field.   Willy Adames scores.,107.3,390.0572539,20,https://sporty-clips.mlb.com/UUFqUm9fV0ZRVkV3dEdEUT09X0F3aFRCZ2NHVVFzQUFWZFRVUUFBQ1FOVkFBQU1BZ1FBVmxSV1V3UU5WMUpWQXdGWA==.mp4
01c93790-1af4-4757-9073-845fe8dc85bf,Kyle Higashioka homers (2) on a fly ball to left center field.,99.3,376.2623783,25,https://sporty-clips.mlb.com/RDF2ZXlfV0ZRVkV3dEdEUT09X0JnQUNYVmNEWHdJQUNRTlVVZ0FBQmdOUkFGZ0ZWRklBQ2xFQVZsWU5WVkJkQlZBQQ==.mp4
42e4bc39-aab8-4bce-9ccb-30a6a7177f2c,Michael Harris II homers (1) on a fly ball to center field.   Orlando Arcia scores.,106.5,414.1952925,29,https://sporty-clips.mlb.com/RDF2ZXlfV0ZRVkV3dEdEUT09X0FnTUVVQVpYVlFzQVdRTlFYZ0FBVTFVREFGaFdBQU1BQVZWVUJsSUNBQVJTVmdBRg==.mp4
1d703e01-29a0-494b-aec9-559455e0111c,Cedric Mullins homers (1) on a fly ball to right center field.,106.4,397.9204568,24,https://sporty-clips.mlb.com/TzBnUjlfV0ZRVkV3dEdEUT09X0IxVldWRmRSVmdNQUNsdFRWZ0FBQ0FJRUFBQlFBRmdBQjFBTUJBWUFWQU5VQVFNRg==.mp4
5522a0fd-9613-4e93-b7cf-8a2e9ba71b3e,Sal Frelick homers (1) on a fly ball to right field.,107.6,407.9363084,29,https://sporty-clips.mlb.com/a0RZT0JfV0ZRVkV3dEdEUT09X0F3UlRWZ1VFQUZZQUFWUURWUUFBVkE5VkFBTUNBQWNBQ2dRSFZRcFhVQVJVVWdFRA==.mp4
87aad5fe-4e47-4890-9027-5a90f0e72324,Jake Bauers homers (1) on a fly ball to right field.,106.8,404.6243751,27,https://sporty-clips.mlb.com/a0RZT0JfV0ZRVkV3dEdEUT09X0RnWUFCUUFCQUZjQURBY0dVUUFBQ1E5V0FGZ0ZVVllBQndRTUFGVUZWQVJYQXdCUw==.mp4
5db9bed4-a569-4a6d-8036-827c22834a63,Nick Castellanos homers (1) on a fly ball to left center field.,106.6,425.4782053,29,https://sporty-clips.mlb.com/MnIycWRfV0ZRVkV3dEdEUT09X0ExVURYUVpSQWdZQVdWY0VYd0FBVUFBQ0FGa0ZVRmNBQ2xjQ1V3RUhDUUJSVVFSVg==.mp4
09bb57a3-ad51-41ae-b0e5-cf9d5b967fc5,Mark Vientos homers (2) on a fly ball to left center field.   Francisco Lindor scores.,105.3,392.0600733,38,https://sporty-clips.mlb.com/MnIycWRfV0ZRVkV3dEdEUT09X0JnZ0RCbEVEQndFQVdRWUhWd0FBQUZjREFBTUZCbFFBVVFNTVZBWlhDQVZTVmxGVA==.mp4
20d25f90-4208-455a-a8e9-ebbb1484cde1,Kyle Schwarber homers (1) on a fly ball to right center field.,115.8,425.3405015,27,https://sporty-clips.mlb.com/cU9SMFFfV0ZRVkV3dEdEUT09X0JBRUZWbEZTWHdJQURGQUNYZ0FBQkFNSEFBQU5CbGdBVndkWFVnSUJDUWNHVkZkWA==.mp4
ff32c2bb-c16f-45e8-a2e6-ec83479de930,Max Muncy homers (1) on a fly ball to center field.,108.9,422.1800425,32,https://sporty-clips.mlb.com/N3lZQmpfV0ZRVkV3dEdEUT09X1VGZFNWZ2NHQkZBQVcxTUVBQUFBQkZOZUFBQUhCbGNBVndZTkF3Y0NDRmNBQ1FGVw==.mp4
84a9267b-ac0e-4951-9451-7deb236c945d,Fernando Tatis Jr.  homers (4) on a fly ball to left center field.   Jake Cronenworth scores.,102.8,396.0247685,30,https://sporty-clips.mlb.com/eUxNMDhfV0ZRVkV3dEdEUT09X0RnVUFYVllDVVZBQVdRRUNBd0FBQ0FOWEFGZ0JWbEFBQlFGUVVnRUdCMUJjQkFjQw==.mp4
b0b13dcf-7ba9-430c-bc8e-03c57e606336,Mark Vientos homers (5) on a fly ball to center field.   Francisco Alvarez scores.,102.8,401.4046332,29,https://sporty-clips.mlb.com/WU9BbERfV0ZRVkV3dEdEUT09X1ZBRURWVmRRQlZRQUR3QlRYd0FBQWdZRkFBTldXd1FBQWxaV0JRUlFCd05UQXdGUQ==.mp4
31d16304-fe64-4021-aab0-d64a84833c6c,Juan Soto homers (1) on a fly ball to center field.,109.7,400.6772651,31,https://sporty-clips.mlb.com/UHZRTzNfV0ZRVkV3dEdEUT09X0JRQUZWVklIVmdZQVhnY0VVZ0FBQVFSWEFBQlVBVkVBVmxNQlVRc0JDUUJXVXdRRg==.mp4
25f7e240-ab6b-4cc4-adc8-b4ef881326a9,Max Muncy homers (3) on a fly ball to right field.,108.9,378,39,https://sporty-clips.mlb.com/WERPd2FfV0ZRVkV3dEdEUT09X0JBUUhVd0VHVWdJQVdRQUVCQUFBVWxWU0FBQlJBRmtBVUZGUVZnc05BQUJYQmxOZg==.mp4
c4591059-a3a5-4ac9-962d-06a6761b4fe3,Kyle Manzardo homers (1) on a fly ball to right field.    Brayan Rocchio scores.,108,394.5449081,30,https://sporty-clips.mlb.com/OTd2WFZfV0ZRVkV3dEdEUT09X1ZRVlVYVlVFVXdzQVdWRlRVd0FBVUZWZkFGZ0RVUVVBQWxOVUJnUURBRkZSVmxkVg==.mp4
1f2fb669-6433-4eb3-abf6-e4872edc0f90,Jhonkensy Noel homers (1) on a fly ball to left field.   Lane Thomas scores.,109,403.6409979,30,https://sporty-clips.mlb.com/OTd2WFZfV0ZRVkV3dEdEUT09X0IxZFRBZ1lDVUFzQURsWUJWUUFBVkZSVkFBQlhCVmNBVjFFTkJ3RlFWVkJWVmd0Vw==.mp4
5884a65b-70e6-4e82-8f59-ba300420851a,Brayan Rocchio homers (1) on a fly ball to left field.,102.9,378.0302005,32,https://sporty-clips.mlb.com/UHZRTzNfV0ZRVkV3dEdEUT09X0F3bFpVQVVDVTFBQUQxSlhVQUFBVkE1VUFGbFRWbGdBVUFRR0FBTUJBd05kQlFNSA==.mp4
48cfbd58-efac-4e53-b02d-3913d2928a57,Max Muncy homers (2) on a fly ball to right field.,105.1,380.988342,29,https://sporty-clips.mlb.com/TkFWODVfV0ZRVkV3dEdEUT09X0Fna0NBZ1pRVXdvQVhRUlRCUUFBVkFOVkFBTUZVUVVBQVZ3RUExY0hDQUZkVVFkUg==.mp4
b6cc1fdb-82f4-4226-96dd-13097e7d99d2,"Umpire reviewed (home run), call on the field was upheld: Shohei Ohtani homers (2) on a fly ball to right field.    Will Smith scores.    Enrique Hernández scores.",115.9,397,37,https://sporty-clips.mlb.com/WERPd2FfV0ZRVkV3dEdEUT09X1ZBY0NCMVZTQWxBQUFGQlVVZ0FBQXdSUUFGZ0RCd1VBQTFZRkNRUlFCbGRjQ1ZaVQ==.mp4
